,label,embryo,area,diameter,Z,Y,X,sm50_spots,sm50_intensity,pks2_spots,pks2_intensity
10,11,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,301,8.314879461624903,8.20265780730897,290.64119601328906,206.1594684385382,34,3.54498096812907,3,0.9740094563767022
11,12,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,220,7.489877008078426,7.5636363636363635,342.8136363636364,370.8090909090909,3,2.2828292701858763,0,0.6636081878423097
12,13,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,218,7.467111284036796,8.600917431192661,278.6559633027523,209.57339449541288,7,1.947366016855784,3,1.0759364735958166
13,14,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,188,7.107547034225343,8.196808510638299,313.3510638297872,198.8404255319149,19,3.192025273065452,2,1.1295176808103575
14,15,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,149,6.57752562495326,7.610738255033557,318.5570469798658,206.3959731543624,12,3.244394574084508,0,1.019976080560627
15,16,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,342,8.676458514270498,10.105263157894736,367.9502923976608,376.9795321637427,40,3.735872992456748,0,0.5351538337504866
16,17,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,239,7.699569193795551,10.878661087866108,269.01673640167365,208.64435146443515,31,4.003780565457705,5,1.2695039381063946
17,18,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,291,8.2217598803337,11.168384879725084,334.0343642611684,387.085910652921,28,3.3644621789046414,7,2.216997305248988
18,19,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,256,7.877960174741571,12.62890625,379.54296875,370.64453125,11,2.972069307735164,0,0.4037150935655041
19,20,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,284,8.155299330204066,12.799295774647888,258.193661971831,214.1725352112676,20,3.294733258312605,5,2.514624369446441
20,21,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,200,7.255663357195618,12.795,325.005,393.35,19,3.7689247471066505,1,1.1558432718129377
21,22,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,241,7.720986742769408,12.390041493775934,339.26970954356847,204.9585062240664,30,4.328360463147679,0,0.5095081646578862
22,23,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,149,6.57752562495326,12.21476510067114,355.97986577181206,390.0,4,1.87763980300972,1,1.0401061681060295
23,24,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,409,9.209616837033389,15.877750611246944,243.59413202933985,220.61369193154036,32,2.272345373811896,20,4.314624708947659
24,25,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,173,6.913253681768307,15.329479768786127,304.3121387283237,389.88439306358384,10,3.691137398671292,1,1.556089434643157
25,26,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,209,7.362905411051833,15.913875598086124,343.4593301435407,207.4688995215311,10,3.418100170144541,1,0.8966948018851318
26,27,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,130,6.285139335191904,15.146153846153846,369.5846153846154,378.6538461538461,42,6.62885331548915,0,0.5959461644487725
27,28,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,384,9.018013214294612,18.63020833333333,351.1302083333333,214.36458333333331,50,3.723671569320505,3,0.890361873253663
28,29,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,219,7.478511471637478,19.69406392694064,385.6392694063927,361.34703196347033,34,4.134683309312804,0,0.5258621564508149
29,30,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,224,7.534997837451086,19.995535714285715,393.38392857142856,350.9419642857143,32,4.421763084622833,0,0.4317855485925588
30,31,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,307,8.369764743424398,21.13029315960912,362.2214983713355,223.70358306188925,14,2.211459466304147,0,0.5910403885914952
31,32,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,220,7.489877008078426,24.76363636363636,391.8772727272727,339.1136363636364,12,2.872566512923983,0,0.567496429428405
32,33,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,166,6.818724679613211,25.80722891566265,395.8734939759036,329.89156626506025,11,3.0499860463540083,0,0.5885018731262683
