,ARI,FM,ncluster,P5.f1,P4.f1,C1+.f1,C1.f1,C3.f1,C2.f1,calinski,DB,method,Experiment,Sim,Rep,Run,LISI,Activated.LISI,Unnamed: 0,Markers (Total),Markers (%),Total Average Marker Shift,Perturbation Shift,Percent Perturbed,Markers (Mean),Gini (Control),Gini (Perturbed),Gini (Merged),Gini (Combined)
1476,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,358.6239024686139,0.9343295336181446,icat,PerturbationExperiment3,7,1,PerturbationExperiment3Sim7Rep1,0.867163302833805,0.867163302833805,246,100,6.666666666666668,32895.027147038585,376.8934296989563,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1477,0.542814203568811,0.6953060168064483,3,0.3983739837398374,0.3983739837398374,0.6644518272425249,0.6644518272425249,0.9851485148514851,0.6666666666666666,265.94454583067215,1.8234782908997402,seurat311,PerturbationExperiment3,7,1,PerturbationExperiment3Sim7Rep1,0.24042566066009302,0.24042566066009302,246,100,6.666666666666668,32895.027147038585,376.8934296989563,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1478,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,266.6570985876984,1.1324095927286133,scanorama,PerturbationExperiment3,7,1,PerturbationExperiment3Sim7Rep1,0.259719493290484,0.259719493290484,246,100,6.666666666666668,32895.027147038585,376.8934296989563,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1479,0.8964246550815798,0.9195795960800327,6,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,3487.749878738054,0.372538624193625,icat_scan,PerturbationExperiment3,7,1,PerturbationExperiment3Sim7Rep1,0.480497982015724,0.480497982015724,246,100,6.666666666666668,32895.027147038585,376.8934296989563,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1480,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,433.34873999845746,0.8408642728257328,seurat_icat,PerturbationExperiment3,7,1,PerturbationExperiment3Sim7Rep1,0.7823748413668691,0.7823748413668691,246,100,6.666666666666668,32895.027147038585,376.8934296989563,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1481,0.7183288340527029,0.7813471416116513,10,1.0,1.0,1.0,1.0,1.0,1.0,128.83624392115695,1.4499399107657518,no-int,PerturbationExperiment3,7,1,PerturbationExperiment3Sim7Rep1,0.0516988602247226,0.0516988602247226,246,100,6.666666666666668,32895.027147038585,376.8934296989563,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1482,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,340.7599740738685,0.916887669332139,icat,PerturbationExperiment3,8,1,PerturbationExperiment3Sim8Rep1,0.87451836030267,0.87451836030267,247,102,6.800000000000002,29646.135939756397,436.63233857647833,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1483,0.5889263824289362,0.7195856295228346,3,0.48041775456919056,0.4747474747474747,0.6470588235294118,0.6514657980456026,0.8122448979591836,0.7968127490039841,281.9514641338666,1.9280768553875596,seurat311,PerturbationExperiment3,8,1,PerturbationExperiment3Sim8Rep1,0.24692789381816801,0.24692789381816801,247,102,6.800000000000002,29646.135939756397,436.63233857647833,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1484,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,220.2727095493479,1.2514186143918309,scanorama,PerturbationExperiment3,8,1,PerturbationExperiment3Sim8Rep1,0.264294341084241,0.264294341084241,247,102,6.800000000000002,29646.135939756397,436.63233857647833,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1485,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,2398.429580139633,0.3610323662223177,icat_scan,PerturbationExperiment3,8,1,PerturbationExperiment3Sim8Rep1,0.48151928833668,0.48151928833668,247,102,6.800000000000002,29646.135939756397,436.63233857647833,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1486,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,451.15992118375226,0.8219464606328961,seurat_icat,PerturbationExperiment3,8,1,PerturbationExperiment3Sim8Rep1,0.8155141102462299,0.8155141102462299,247,102,6.800000000000002,29646.135939756397,436.63233857647833,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1487,0.7214644583264591,0.7837057042490397,10,1.0,1.0,1.0,1.0,1.0,1.0,181.51729317418773,1.281255091343638,no-int,PerturbationExperiment3,8,1,PerturbationExperiment3Sim8Rep1,0.0406003565850881,0.0406003565850881,247,102,6.800000000000002,29646.135939756397,436.63233857647833,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1488,0.9838452659844912,0.9868590580682095,6,1.0,0.966183574879227,1.0,0.9950248756218906,1.0,1.0,279.44920902679337,1.0263344600682858,icat,PerturbationExperiment3,9,1,PerturbationExperiment3Sim9Rep1,0.7007761858106201,0.7007761858106201,248,92,6.133333333333333,27940.101953006342,468.09912076965867,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1489,0.5422038178108881,0.6931525100895651,3,0.3739495798319327,0.39751552795031053,0.66,0.6644518272425249,0.9683698296836982,0.6814310051107325,309.96305345809157,2.1044834171697313,seurat311,PerturbationExperiment3,9,1,PerturbationExperiment3Sim9Rep1,0.252605777373107,0.252605777373107,248,92,6.133333333333333,27940.101953006342,468.09912076965867,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1490,0.8633755778107627,0.8927360033723073,5,0.9389671361502347,1.0,0.6576271186440679,0.6711409395973155,0.9973753280839895,1.0,170.66987946260147,1.4553411013654962,scanorama,PerturbationExperiment3,9,1,PerturbationExperiment3Sim9Rep1,0.268001037147387,0.268001037147387,248,92,6.133333333333333,27940.101953006342,468.09912076965867,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1491,0.8674307675551821,0.8930749686618079,7,1.0,1.0,0.6183206106870229,0.7117437722419929,1.0,1.0,1166.7969127418046,1.0114534493710075,icat_scan,PerturbationExperiment3,9,1,PerturbationExperiment3Sim9Rep1,0.392096322459728,0.392096322459728,248,92,6.133333333333333,27940.101953006342,468.09912076965867,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
1492,0.8954322409236173,0.91920170429969,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.9950248756218906,393.9836988979373,0.8441341014041586,seurat_icat,PerturbationExperiment3,9,1,PerturbationExperiment3Sim9Rep1,0.782831671104555,0.782831671104555,248,92,6.133333333333333,27940.101953006342,468.09912076965867,0.1,15.0,0.0,0.0,0.16666666666666666,0.0
